,description,type,id,ontology_type,orthodb_id,name,count,obsolete_term,ancestor_terms
1935,methylation,GeneOntology,GO:0032259,biological_process,291505at33208,GO:0032259,140.0,False,"GO:0008150,GO:0008152,GO:0032259"
1936,small nucleolar ribonucleoprotein complex,GeneOntology,GO:0005732,cellular_component,291875at33208,GO:0005732,154.0,False,"GO:0032991,GO:1990904,GO:0005575,GO:0005732"
1937,Mpp10 complex,GeneOntology,GO:0034457,cellular_component,291875at33208,GO:0034457,154.0,False,"GO:0043229,GO:0043233,GO:0043232,GO:0043226,GO:0005730,GO:0110165,GO:0005575,GO:0005622,GO:0043228,GO:0043227,GO:0005634,GO:0140513,GO:0070013,GO:0043231,GO:0034457,GO:0031981,GO:0030684,GO:0032991,GO:1990904,GO:0030686,GO:0031974"
1938,nucleus,GeneOntology,GO:0005634,cellular_component,291875at33208,GO:0005634,154.0,False,"GO:0043229,GO:0005634,GO:0043231,GO:0043226,GO:0110165,GO:0005575,GO:0005622,GO:0043227"
1939,nucleolus,GeneOntology,GO:0005730,cellular_component,291875at33208,GO:0005730,131.0,False,"GO:0043229,GO:0043233,GO:0043232,GO:0110165,GO:0005730,GO:0043226,GO:0005575,GO:0043228,GO:0005622,GO:0043227,GO:0005634,GO:0070013,GO:0043231,GO:0031981,GO:0031974"
1940,,GeneOntology,GO:0006364,unclassified GO terms,291875at33208,GO:0006364,154.0,False,"GO:0034470,GO:1901360,GO:0042254,GO:0006364,GO:0044238,GO:0044237,GO:0043170,GO:0046483,GO:0016070,GO:0044085,GO:0016072,GO:0034641,GO:0090304,GO:0008150,GO:0034660,GO:0008152,GO:0022613,GO:0006396,GO:0006139,GO:0009987,GO:0006725,GO:0006807,GO:0010467,GO:0071840,GO:0071704"
1941,,GeneOntology,GO:0042254,unclassified GO terms,291875at33208,GO:0042254,121.0,False,"GO:0008150,GO:0044085,GO:0042254,GO:0022613,GO:0071840,GO:0009987"
1942,"U3 small nucleolar ribonucleoprotein complex, subunit Mpp10",interpro,IPR012173,interpro_domains,291875at33208,IPR012173,135.0,,
1943,,GeneOntology,GO:0008104,unclassified GO terms,295556at33208,GO:0008104,47.0,False,"GO:0008150,GO:0051179,GO:0070727,GO:0051641,GO:0008104,GO:0033036,GO:0009987"
1944,,GeneOntology,GO:0006325,unclassified GO terms,295556at33208,GO:0006325,47.0,False,"GO:0008150,GO:0016043,GO:0071840,GO:0006325,GO:0009987"
1945,,GeneOntology,GO:0005886,unclassified GO terms,295556at33208,GO:0005886,47.0,False,"GO:0016020,GO:0110165,GO:0005575,GO:0005886,GO:0071944"
1946,"Codanin-1, C-terminal domain",interpro,IPR028171,interpro_domains,295556at33208,IPR028171,88.0,,
1947,negative regulation of DNA replication,GeneOntology,GO:0008156,biological_process,295556at33208,GO:0008156,47.0,False,"GO:0019219,GO:1901360,GO:0009892,GO:0006260,GO:0051172,GO:0051052,GO:0051171,GO:0044238,GO:0048519,GO:0044237,GO:0043170,GO:0046483,GO:0050794,GO:0019222,GO:0034641,GO:0065007,GO:0090304,GO:0008150,GO:0060255,GO:0008152,GO:0006275,GO:0048523,GO:0008156,GO:0006259,GO:0045934,GO:0006139,GO:0009987,GO:0006725,GO:0006807,GO:0051053,GO:0010605,GO:0080090,GO:0071704,GO:0050789,GO:0031323,GO:0031324"
1948,chromatin assembly,GeneOntology,GO:0031497,biological_process,295556at33208,GO:0031497,47.0,False,"GO:0008150,GO:0016043,GO:0071840,GO:0006325,GO:0009987"
1949,cytoplasm,GeneOntology,GO:0005737,cellular_component,295556at33208,GO:0005737,55.0,False,"GO:0005737,GO:0110165,GO:0005575,GO:0005622"
1950,cytosol,GeneOntology,GO:0005829,cellular_component,295556at33208,GO:0005829,47.0,False,"GO:0005737,GO:0005829,GO:0110165,GO:0005575,GO:0005622"
1951,endomembrane system,GeneOntology,GO:0012505,cellular_component,295556at33208,GO:0012505,47.0,False,"GO:0012505,GO:0110165,GO:0005575"
1952,nucleus,GeneOntology,GO:0005634,cellular_component,295556at33208,GO:0005634,47.0,False,"GO:0043229,GO:0005634,GO:0043231,GO:0043226,GO:0110165,GO:0005575,GO:0005622,GO:0043227"
1953,"L: Replication, recombination and repair",text,L,functional_category,295775at33208,,,,
1954,I: Lipid transport and metabolism,text,I,functional_category,295775at33208,,,,
1955,"Q: Secondary metabolites biosynthesis, transport and catabolism",text,Q,functional_category,295775at33208,,,,
1956,transferase activity,GeneOntology,GO:0016740,molecular_function,295775at33208,GO:0016740,141.0,False,"GO:0003824,GO:0016740,GO:0003674"
1957,,GeneOntology,GO:0008168,unclassified GO terms,295775at33208,GO:0008168,141.0,False,"GO:0003824,GO:0008168,GO:0016740,GO:0016741,GO:0003674"
1958,Protein arginine methyltransferase NDUFAF7,interpro,IPR003788,interpro_domains,295775at33208,IPR003788,139.0,,
1959,S-adenosyl-L-methionine-dependent methyltransferase,interpro,IPR029063,interpro_domains,295775at33208,IPR029063,139.0,,
1960,Protein arginine methyltransferase NDUFAF7 superfamily,interpro,IPR038375,interpro_domains,295775at33208,IPR038375,136.0,,
1961,methylation,GeneOntology,GO:0032259,biological_process,295775at33208,GO:0032259,141.0,False,"GO:0008150,GO:0008152,GO:0032259"
1962,mitochondrion,GeneOntology,GO:0005739,cellular_component,295775at33208,GO:0005739,151.0,False,"GO:0043229,GO:0005737,GO:0043231,GO:0005739,GO:0110165,GO:0043226,GO:0005575,GO:0005622,GO:0043227"
1963,,GeneOntology,GO:0007052,unclassified GO terms,300303at33208,GO:0007052,54.0,False,"GO:0008150,GO:0007051,GO:1903047,GO:0007010,GO:1902850,GO:0007052,GO:0022402,GO:0000226,GO:0006996,GO:0000278,GO:0009987,GO:0007049,GO:0007017,GO:0016043,GO:0071840"
1964,Cell cycle regulator Mat89Bb,interpro,IPR019355,interpro_domains,300303at33208,IPR019355,179.0,,
1965,regulation of mitotic cell cycle,GeneOntology,GO:0007346,biological_process,300303at33208,GO:0007346,64.0,False,"GO:0065007,GO:0008150,GO:0050794,GO:0051726,GO:0050789,GO:0007346,GO:0009987,GO:0000278,GO:0007049"
1966,centrosome localization,GeneOntology,GO:0051642,biological_process,300303at33208,GO:0051642,62.0,False,"GO:0051642,GO:0008150,GO:0051179,GO:0061842,GO:0009987"
1967,protein localization to nuclear envelope,GeneOntology,GO:0090435,biological_process,300303at33208,GO:0090435,54.0,False,"GO:0008150,GO:0090435,GO:0051179,GO:0051641,GO:0070727,GO:0008104,GO:0033036,GO:0033365,GO:0034504,GO:0009987"
1968,cytoplasm,GeneOntology,GO:0005737,cellular_component,300303at33208,GO:0005737,64.0,False,"GO:0005737,GO:0110165,GO:0005575,GO:0005622"
1969,nucleus,GeneOntology,GO:0005634,cellular_component,300303at33208,GO:0005634,64.0,False,"GO:0043229,GO:0005634,GO:0043231,GO:0043226,GO:0110165,GO:0005575,GO:0005622,GO:0043227"
1970,,GeneOntology,GO:0000398,unclassified GO terms,301572at33208,GO:0000398,174.0,False,"GO:0090304,GO:0008150,GO:0008380,GO:1901360,GO:0008152,GO:0006396,GO:0006397,GO:0044238,GO:0006139,GO:0044237,GO:0009987,GO:0000377,GO:0000398,GO:0000375,GO:0043170,GO:0006725,GO:0046483,GO:0016070,GO:0016071,GO:0006807,GO:0010467,GO:0034641,GO:0071704"
1971,,GeneOntology,GO:0000244,unclassified GO terms,301572at33208,GO:0000244,174.0,False,"GO:0008380,GO:1901360,GO:0022607,GO:0044238,GO:0044237,GO:0000377,GO:0000398,GO:0043170,GO:0046483,GO:0044085,GO:0016070,GO:0016071,GO:0034641,GO:0090304,GO:0008150,GO:0043933,GO:0071826,GO:0065003,GO:0008152,GO:0022618,GO:0022613,GO:0006396,GO:0006397,GO:0006139,GO:0009987,GO:0000387,GO:0000244,GO:0000375,GO:0006725,GO:0006807,GO:0016043,GO:0010467,GO:0071840,GO:0071704"
1972,U4/U6 small nuclear ribonucleoprotein Prp31,interpro,IPR027105,interpro_domains,301572at33208,IPR027105,171.0,,
1973,Nop domain,interpro,IPR002687,interpro_domains,301572at33208,IPR002687,170.0,,
1974,Nop domain superfamily,interpro,IPR036070,interpro_domains,301572at33208,IPR036070,170.0,,
1975,Prp31 C-terminal,interpro,IPR019175,interpro_domains,301572at33208,IPR019175,169.0,,
1976,NOSIC,interpro,IPR012976,interpro_domains,301572at33208,IPR012976,165.0,,
1977,Helix hairpin bin domain superfamily,interpro,IPR029012,interpro_domains,301572at33208,IPR029012,164.0,,
1978,U4/U6 x U5 tri-snRNP complex,GeneOntology,GO:0046540,cellular_component,301572at33208,GO:0046540,174.0,False,"GO:0043229,GO:0120114,GO:0110165,GO:0043226,GO:0005575,GO:0005622,GO:0043227,GO:0005634,GO:0140513,GO:0043231,GO:0046540,GO:0097526,GO:0097525,GO:0032991,GO:1990904,GO:0030532"
1979,"J: Translation, ribosomal structure and biogenesis",text,J,functional_category,301572at33208,,,,
1980,T: Signal transduction mechanisms,text,T,functional_category,301572at33208,,,,
1981,T: Signal transduction mechanisms,text,T,functional_category,302186at33208,,,,
1982,"L: Replication, recombination and repair",text,L,functional_category,302186at33208,,,,
1983,,GeneOntology,GO:0031145,unclassified GO terms,302186at33208,GO:0031145,155.0,False,"GO:0008150,GO:0019538,GO:0009057,GO:0009056,GO:0030163,GO:0008152,GO:1901565,GO:1901575,GO:1901564,GO:0044238,GO:0043632,GO:0006511,GO:0043170,GO:0043161,GO:0006807,GO:0006508,GO:0031145,GO:0071704,GO:0051603,GO:0019941,GO:0010498"
1984,Anaphase-promoting complex subunit 4,interpro,IPR024789,interpro_domains,302186at33208,IPR024789,138.0,,
1985,"Anaphase-promoting complex subunit 4, WD40 domain",interpro,IPR024977,interpro_domains,302186at33208,IPR024977,129.0,,
1986,Anaphase-promoting complex subunit 4 long domain,interpro,IPR024790,interpro_domains,302186at33208,IPR024790,128.0,,
1987,WD40/YVTN repeat-like-containing domain superfamily,interpro,IPR015943,interpro_domains,302186at33208,IPR015943,122.0,,
1988,WD40-repeat-containing domain superfamily,interpro,IPR036322,interpro_domains,302186at33208,IPR036322,104.0,,
1989,"Anaphase-promoting complex subunit 4, metazoa",interpro,IPR017169,interpro_domains,302186at33208,IPR017169,71.0,,
1990,regulation of mitotic metaphase/anaphase transition,GeneOntology,GO:0030071,biological_process,302186at33208,GO:0030071,155.0,False,"GO:0000819,GO:0030071,GO:1903047,GO:0033045,GO:0033044,GO:0033043,GO:1902099,GO:0022402,GO:0044772,GO:0007059,GO:1901987,GO:0000278,GO:0051983,GO:0050794,GO:0051726,GO:0098813,GO:0007091,GO:0051128,GO:0065007,GO:0008150,GO:1901990,GO:0044784,GO:0006996,GO:0007346,GO:0009987,GO:0007049,GO:0051276,GO:0044770,GO:0016043,GO:0071840,GO:0050789,GO:0010564"
1991,anaphase-promoting complex,GeneOntology,GO:0005680,cellular_component,302186at33208,GO:0005680,169.0,False,"GO:0043229,GO:1902494,GO:0031461,GO:0005680,GO:0043226,GO:0110165,GO:0005575,GO:0005622,GO:0043227,GO:0005634,GO:1990234,GO:0000152,GO:0000151,GO:0140535,GO:0140513,GO:0043231,GO:0032991"
1992,T: Signal transduction mechanisms,text,T,functional_category,302279at33208,,,,
1993,M: Cell wall/membrane/envelope biogenesis,text,M,functional_category,302279at33208,,,,
1994,,GeneOntology,GO:0005515,unclassified GO terms,302279at33208,GO:0005515,48.0,False,"GO:0005515,GO:0005488,GO:0003674"
1995,WD40-repeat-containing domain superfamily,interpro,IPR036322,interpro_domains,302279at33208,IPR036322,134.0,,
1996,WD40/YVTN repeat-like-containing domain superfamily,interpro,IPR015943,interpro_domains,302279at33208,IPR015943,134.0,,
1997,WD40 repeat,interpro,IPR001680,interpro_domains,302279at33208,IPR001680,129.0,,
1998,WD40-repeat-containing domain,interpro,IPR017986,interpro_domains,302279at33208,IPR017986,99.0,,
1999,"J: Translation, ribosomal structure and biogenesis",text,J,functional_category,302921at33208,,,,
2000,K: Transcription,text,K,functional_category,302921at33208,,,,
2001,ubiquitin binding,GeneOntology,GO:0043130,molecular_function,302921at33208,GO:0043130,153.0,False,"GO:0032182,GO:0005515,GO:0043130,GO:0005488,GO:0003674"
2002,Ubiquitin-associated protein 1,interpro,IPR038870,interpro_domains,302921at33208,IPR038870,145.0,,
2003,UMA domain,interpro,IPR023340,interpro_domains,302921at33208,IPR023340,136.0,,
2004,Ubiquitin-associated domain,interpro,IPR015940,interpro_domains,302921at33208,IPR015940,135.0,,
2005,UBA-like superfamily,interpro,IPR009060,interpro_domains,302921at33208,IPR009060,128.0,,
2006,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,GeneOntology,GO:0043162,biological_process,302921at33208,GO:0043162,153.0,False,"GO:0019538,GO:0008150,GO:0009057,GO:0009056,GO:0030163,GO:0008152,GO:1901565,GO:1901575,GO:1901564,GO:0044238,GO:0043632,GO:0006511,GO:0043170,GO:0043162,GO:0006807,GO:0006508,GO:0019941,GO:0071704,GO:0051603"
2007,ESCRT I complex,GeneOntology,GO:0000813,cellular_component,302921at33208,GO:0000813,153.0,False,"GO:0036452,GO:0043229,GO:0000813,GO:0110165,GO:0043226,GO:0005575,GO:0031090,GO:0005622,GO:0043227,GO:0098796,GO:0030659,GO:0005768,GO:0005737,GO:0043231,GO:0012506,GO:0098588,GO:0016020,GO:0012505,GO:0031410,GO:0031982,GO:0010008,GO:0032991,GO:0097708"
2008,"L: Replication, recombination and repair",text,L,functional_category,303117at33208,,,,
2009,K: Transcription,text,K,functional_category,303117at33208,,,,
2010,V: Defense mechanisms,text,V,functional_category,303117at33208,,,,
2011,"J: Translation, ribosomal structure and biogenesis",text,J,functional_category,303117at33208,,,,
2012,nucleic acid binding,GeneOntology,GO:0003676,molecular_function,303117at33208,GO:0003676,125.0,False,"GO:0003676,GO:1901363,GO:0097159,GO:0005488,GO:0003674"
2013,ATP binding,GeneOntology,GO:0005524,molecular_function,303117at33208,GO:0005524,125.0,False,"GO:1901363,GO:1901265,GO:0043167,GO:0036094,GO:0043168,GO:0005488,GO:0003674,GO:0000166,GO:0005524,GO:0032559,GO:0097159,GO:0035639,GO:0097367,GO:0017076,GO:0032553,GO:0030554,GO:0032555"
2014,helicase activity,GeneOntology,GO:0004386,molecular_function,303117at33208,GO:0004386,102.0,False,"GO:0140657,GO:0003824,GO:0004386,GO:0003674,GO:0140640"
2015,nucleotide binding,GeneOntology,GO:0000166,molecular_function,303117at33208,GO:0000166,93.0,False,"GO:0000166,GO:0097159,GO:1901363,GO:1901265,GO:0036094,GO:0005488,GO:0003674"
2016,hydrolase activity,GeneOntology,GO:0016787,molecular_function,303117at33208,GO:0016787,93.0,False,"GO:0003824,GO:0003674,GO:0016787"
2017,P-loop containing nucleoside triphosphate hydrolase,interpro,IPR027417,interpro_domains,303117at33208,IPR027417,110.0,,
2018,"Helicase superfamily 1/2, ATP-binding domain",interpro,IPR014001,interpro_domains,303117at33208,IPR014001,106.0,,
2019,DEAD/DEAH box helicase domain,interpro,IPR011545,interpro_domains,303117at33208,IPR011545,106.0,,
2020,"Helicase, C-terminal",interpro,IPR001650,interpro_domains,303117at33208,IPR001650,105.0,,
2021,"ATP-dependent RNA helicase DEAD-box, conserved site",interpro,IPR000629,interpro_domains,303117at33208,IPR000629,97.0,,
2022,T: Signal transduction mechanisms,text,T,functional_category,304388at33208,,,,
2023,"L: Replication, recombination and repair",text,L,functional_category,304388at33208,,,,
2024,,GeneOntology,GO:0005515,unclassified GO terms,304388at33208,GO:0005515,52.0,False,"GO:0005515,GO:0005488,GO:0003674"
2025,WD40-repeat-containing domain superfamily,interpro,IPR036322,interpro_domains,304388at33208,IPR036322,143.0,,
2026,WD40 repeat,interpro,IPR001680,interpro_domains,304388at33208,IPR001680,140.0,,
2027,WD40-repeat-containing domain,interpro,IPR017986,interpro_domains,304388at33208,IPR017986,140.0,,
2028,"WD40 repeat, conserved site",interpro,IPR019775,interpro_domains,304388at33208,IPR019775,140.0,,
2029,WD40/YVTN repeat-like-containing domain superfamily,interpro,IPR015943,interpro_domains,304388at33208,IPR015943,140.0,,
2030,G-protein beta WD-40 repeat,interpro,IPR020472,interpro_domains,304388at33208,IPR020472,107.0,,
2031,positive regulation of transcription of nucleolar large rRNA by RNA polymerase I,GeneOntology,GO:1901838,biological_process,304388at33208,GO:1901838,51.0,False,"GO:0006360,GO:0051173,GO:0051171,GO:0044238,GO:0098781,GO:0048518,GO:0044237,GO:0050794,GO:0048522,GO:0045893,GO:0090304,GO:0065007,GO:1902680,GO:2001141,GO:0008150,GO:0045935,GO:0034660,GO:0008152,GO:0044249,GO:0009889,GO:0006139,GO:0006725,GO:0006807,GO:0051254,GO:0042790,GO:0140747,GO:0051252,GO:0010468,GO:0034654,GO:0010467,GO:0097659,GO:0019438,GO:0019219,GO:1901360,GO:0009893,GO:1901362,GO:0009891,GO:0009059,GO:0009058,GO:1903506,GO:0045943,GO:0043170,GO:1901836,GO:0046483,GO:0016070,GO:1901838,GO:0016072,GO:0018130,GO:0010556,GO:0019222,GO:0034641,GO:0010557,GO:0060255,GO:0006351,GO:0009303,GO:1901576,GO:0006355,GO:0009987,GO:0006356,GO:1903508,GO:0044271,GO:0031328,GO:0010604,GO:0032774,GO:0031325,GO:0071704,GO:0031326,GO:0050789,GO:0080090,GO:0031323"
2032,nucleus,GeneOntology,GO:0005634,cellular_component,304388at33208,GO:0005634,65.0,False,"GO:0043229,GO:0005634,GO:0043231,GO:0043226,GO:0110165,GO:0005575,GO:0005622,GO:0043227"
2033,nucleolus,GeneOntology,GO:0005730,cellular_component,304388at33208,GO:0005730,51.0,False,"GO:0043229,GO:0043233,GO:0043232,GO:0110165,GO:0005730,GO:0043226,GO:0005575,GO:0043228,GO:0005622,GO:0043227,GO:0005634,GO:0070013,GO:0043231,GO:0031981,GO:0031974"
2034,M: Cell wall/membrane/envelope biogenesis,text,M,functional_category,305260at33208,,,,
2035,G: Carbohydrate transport and metabolism,text,G,functional_category,305260at33208,,,,
2036,"J: Translation, ribosomal structure and biogenesis",text,J,functional_category,305260at33208,,,,
2037,"PIGA, GPI anchor biosynthesis",interpro,IPR013234,interpro_domains,305260at33208,IPR013234,148.0,,
2038,"Glycosyl transferase, family 1",interpro,IPR001296,interpro_domains,305260at33208,IPR001296,144.0,,
2039,,GeneOntology,GO:0006506,unclassified GO terms,305260at33208,GO:0006506,169.0,False,"GO:0019538,GO:0036211,GO:0019637,GO:1901564,GO:0044255,GO:0009059,GO:1901566,GO:0009058,GO:0042157,GO:0006661,GO:0006644,GO:0044238,GO:0042158,GO:0044237,GO:0006664,GO:0006643,GO:0043170,GO:0046486,GO:0008150,GO:0008152,GO:1901576,GO:0008610,GO:0008654,GO:0006497,GO:0045017,GO:1901135,GO:0009247,GO:0046488,GO:0006793,GO:0006650,GO:0046467,GO:1901137,GO:0044249,GO:0043412,GO:0006796,GO:0009987,GO:0006505,GO:0006506,GO:1903509,GO:0006807,GO:0046474,GO:0006629,GO:0090407,GO:0071704"
2040,phosphatidylinositol N-acetylglucosaminyltransferase activity,GeneOntology,GO:0017176,molecular_function,305260at33208,GO:0017176,133.0,False,"GO:0008194,GO:0016757,GO:0016758,GO:0008375,GO:0003824,GO:0017176,GO:0016740,GO:0003674"
2041,glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex,GeneOntology,GO:0000506,cellular_component,305260at33208,GO:0000506,148.0,False,"GO:0043229,GO:1902494,GO:0000506,GO:0005783,GO:0043226,GO:0110165,GO:0005575,GO:0031090,GO:0005622,GO:0043227,GO:0005789,GO:0098796,GO:1990234,GO:0005737,GO:0043231,GO:0042175,GO:0016020,GO:0012505,GO:0032991,GO:0140534,GO:0098827,GO:0031984"
2042,integral component of membrane,GeneOntology,GO:0016021,cellular_component,305260at33208,GO:0016021,129.0,False,"GO:0016020,GO:0110165,GO:0005575"
2043,membrane,GeneOntology,GO:0016020,cellular_component,305260at33208,GO:0016020,126.0,False,"GO:0016020,GO:0110165,GO:0005575"
2044,E: Amino acid transport and metabolism,text,E,functional_category,306101at33208,,,,
2045,"O: Posttranslational modification, protein turnover, chaperones",text,O,functional_category,306101at33208,,,,
2046,I: Lipid transport and metabolism,text,I,functional_category,306101at33208,,,,
2047,"Q: Secondary metabolites biosynthesis, transport and catabolism",text,Q,functional_category,306101at33208,,,,
2048,aminomethyltransferase activity,GeneOntology,GO:0004047,molecular_function,306101at33208,GO:0004047,163.0,False,"GO:0003824,GO:0004047,GO:0016740,GO:0016741,GO:0003674,GO:0016742"
2049,transferase activity,GeneOntology,GO:0016740,molecular_function,306101at33208,GO:0016740,144.0,False,"GO:0003824,GO:0016740,GO:0003674"
2050,transaminase activity,GeneOntology,GO:0008483,molecular_function,306101at33208,GO:0008483,142.0,False,"GO:0016769,GO:0003824,GO:0008483,GO:0016740,GO:0003674"
2051,"Aminomethyltransferase, folate-binding domain",interpro,IPR006222,interpro_domains,306101at33208,IPR006222,142.0,,
2052,"GTP-binding protein TrmE/Glycine cleavage system T protein, domain 1",interpro,IPR027266,interpro_domains,306101at33208,IPR027266,141.0,,
2053,"Glycine cleavage T-protein/YgfZ, C-terminal",interpro,IPR029043,interpro_domains,306101at33208,IPR029043,137.0,,
2054,"Glycine cleavage T-protein, C-terminal barrel domain",interpro,IPR013977,interpro_domains,306101at33208,IPR013977,137.0,,
2055,Aminomethyltransferase-like,interpro,IPR028896,interpro_domains,306101at33208,IPR028896,134.0,,
2056,Glycine cleavage system T protein,interpro,IPR006223,interpro_domains,306101at33208,IPR006223,134.0,,
2057,glycine catabolic process,GeneOntology,GO:0006546,biological_process,306101at33208,GO:0006546,148.0,False,"GO:0006082,GO:0009056,GO:1901565,GO:1901564,GO:0006520,GO:0044238,GO:0006546,GO:0044237,GO:0006544,GO:0044281,GO:0044282,GO:0016054,GO:0009071,GO:0008150,GO:0009063,GO:0008152,GO:1901575,GO:0009069,GO:0044248,GO:0009987,GO:0043436,GO:1901606,GO:1901605,GO:0046395,GO:0006807,GO:0019752,GO:0071704"
2058,methylation,GeneOntology,GO:0032259,biological_process,306101at33208,GO:0032259,144.0,False,"GO:0008150,GO:0008152,GO:0032259"
2059,mitochondrion,GeneOntology,GO:0005739,cellular_component,306101at33208,GO:0005739,149.0,False,"GO:0043229,GO:0005737,GO:0043231,GO:0005739,GO:0110165,GO:0043226,GO:0005575,GO:0005622,GO:0043227"
2060,F: Nucleotide transport and metabolism,text,F,functional_category,307109at33208,,,,
2061,H: Coenzyme transport and metabolism,text,H,functional_category,307109at33208,,,,
2062,E: Amino acid transport and metabolism,text,E,functional_category,307109at33208,,,,
2063,"SAICAR synthetase/ADE2, N-terminal",interpro,IPR028923,interpro_domains,307109at33208,IPR028923,136.0,,
2064,PurE domain superfamily,interpro,IPR035893,interpro_domains,307109at33208,IPR035893,133.0,,
2065,PurE domain,interpro,IPR000031,interpro_domains,307109at33208,IPR000031,133.0,,
2066,"SAICAR synthetase, conserved site",interpro,IPR018236,interpro_domains,307109at33208,IPR018236,130.0,,
2067,Class II PurE,interpro,IPR033626,interpro_domains,307109at33208,IPR033626,113.0,,
2068,phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,GeneOntology,GO:0004639,molecular_function,307109at33208,GO:0004639,145.0,False,"GO:0016879,GO:0003824,GO:0004639,GO:0016881,GO:0016874,GO:0003674"
2069,'de novo' IMP biosynthetic process,GeneOntology,GO:0006189,biological_process,307109at33208,GO:0006189,147.0,False,"GO:0009152,GO:0019637,GO:0009150,GO:0009156,GO:0006163,GO:0006164,GO:0044238,GO:0044237,GO:0009117,GO:0044281,GO:0008150,GO:0009161,GO:0009167,GO:0009123,GO:0009165,GO:0008152,GO:0009127,GO:0009126,GO:0009168,GO:0009124,GO:0044249,GO:0006139,GO:0006725,GO:0006807,GO:0034654,GO:0046390,GO:0019438,GO:1901360,GO:1901362,GO:0006189,GO:0009259,GO:1901564,GO:0006188,GO:1901566,GO:0009058,GO:0046483,GO:0046040,GO:0018130,GO:0072521,GO:0072522,GO:0034641,GO:1901293,GO:0009260,GO:0055086,GO:1901576,GO:1901135,GO:0006793,GO:1901137,GO:0006796,GO:0009987,GO:0006753,GO:0044271,GO:0019693,GO:0090407,GO:0071704"
2070,purine nucleotide biosynthetic process,GeneOntology,GO:0006164,biological_process,307109at33208,GO:0006164,144.0,False,"GO:0019637,GO:1901360,GO:0006163,GO:0006164,GO:1901362,GO:1901564,GO:0009058,GO:1901566,GO:0044238,GO:0044237,GO:0009117,GO:0044281,GO:0046483,GO:0072521,GO:0018130,GO:0072522,GO:0034641,GO:1901293,GO:0008150,GO:0055086,GO:0009165,GO:0008152,GO:1901576,GO:0006793,GO:0044249,GO:0006139,GO:0006796,GO:0009987,GO:0006753,GO:0006725,GO:0044271,GO:0006807,GO:0034654,GO:0090407,GO:0071704,GO:0019438"
2071,transferase activity,GeneOntology,GO:0016740,molecular_function,308610at33208,GO:0016740,101.0,False,"GO:0003824,GO:0016740,GO:0003674"
2072,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48kDa subunit,interpro,IPR005013,interpro_domains,308610at33208,IPR005013,148.0,,
2073,protein N-linked glycosylation via asparagine,GeneOntology,GO:0018279,biological_process,308610at33208,GO:0018279,163.0,False,"GO:0019538,GO:0036211,GO:0008150,GO:0009101,GO:0009100,GO:0008152,GO:0006486,GO:1901576,GO:0006487,GO:1901135,GO:1901564,GO:0009059,GO:1901137,GO:1901566,GO:0009058,GO:0044238,GO:0043413,GO:0043412,GO:0070085,GO:0043170,GO:0006807,GO:0018279,GO:0071704"
2074,protein glycosylation,GeneOntology,GO:0006486,biological_process,308610at33208,GO:0006486,153.0,False,"GO:0019538,GO:0008150,GO:0036211,GO:0009101,GO:0009100,GO:0008152,GO:0006486,GO:1901576,GO:1901135,GO:1901564,GO:0009059,GO:1901137,GO:0009058,GO:1901566,GO:0044238,GO:0043413,GO:0043412,GO:0043170,GO:0070085,GO:0006807,GO:0071704"
2075,endoplasmic reticulum,GeneOntology,GO:0005783,cellular_component,308610at33208,GO:0005783,171.0,False,"GO:0043229,GO:0005737,GO:0043231,GO:0012505,GO:0005783,GO:0110165,GO:0043226,GO:0005575,GO:0005622,GO:0043227"
2076,endoplasmic reticulum membrane,GeneOntology,GO:0005789,cellular_component,308610at33208,GO:0005789,163.0,False,"GO:0043229,GO:0005783,GO:0110165,GO:0043226,GO:0031090,GO:0005575,GO:0005622,GO:0043227,GO:0005789,GO:0005737,GO:0043231,GO:0016020,GO:0042175,GO:0012505,GO:0098827,GO:0031984"
2077,integral component of membrane,GeneOntology,GO:0016021,cellular_component,308610at33208,GO:0016021,158.0,False,"GO:0016020,GO:0110165,GO:0005575"
2078,membrane,GeneOntology,GO:0016020,cellular_component,308610at33208,GO:0016020,146.0,False,"GO:0016020,GO:0110165,GO:0005575"
2079,I: Lipid transport and metabolism,text,I,functional_category,311438at33208,,,,
2080,"O: Posttranslational modification, protein turnover, chaperones",text,O,functional_category,311438at33208,,,,
2081,catalytic activity,GeneOntology,GO:0003824,molecular_function,311438at33208,GO:0003824,153.0,False,"GO:0003824,GO:0003674"
2082,Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid,interpro,IPR008930,interpro_domains,311438at33208,IPR008930,149.0,,
2083,PFTB repeat,interpro,IPR001330,interpro_domains,311438at33208,IPR001330,148.0,,
2084,vesicle docking involved in exocytosis,GeneOntology,GO:0006904,biological_process,311758at33208,GO:0006904,167.0,False,"GO:0008150,GO:0046903,GO:0022406,GO:0006810,GO:0006887,GO:0009987,GO:0051640,GO:0051179,GO:0016192,GO:0051234,GO:0140029,GO:0048278,GO:0006904,GO:0140352,GO:0140056,GO:0032940"
